City 1,Lat 1,Lon 1,City 2,Lat 2,Lon 2
Boston,42.360081,-71.058884,Greenfield,42.587879,-72.600258
Fall River,41.701031,-71.155388,Greenfield,42.587879,-72.600258
Framingham,42.281559,-71.418831,Greenfield,42.587879,-72.600258
Greenfield,42.587879,-72.600258,Greenfield,42.587879,-72.600258
Hartford,41.765804,-72.67337,Greenfield,42.587879,-72.600258
Leominster,42.52586,-71.760132,Greenfield,42.587879,-72.600258
Lowell,42.633427,-71.31617,Greenfield,42.587879,-72.600258
Nashua,42.765366,-71.467567,Greenfield,42.587879,-72.600258
North Adams,42.700539,-73.108704,Greenfield,42.587879,-72.600258
Northampton,42.319519,-72.629761,Greenfield,42.587879,-72.600258
Pittsfield,42.450085,-73.245384,Greenfield,42.587879,-72.600258
Providence,41.82399,-71.412834,Greenfield,42.587879,-72.600258
Springfield,42.102051,-72.585762,Greenfield,42.587879,-72.600258
Sturbridge,42.108261,-72.079643,Greenfield,42.587879,-72.600258
Taunton,41.90168,-71.092651,Greenfield,42.587879,-72.600258
Torrington,41.812191,-73.10157,Greenfield,42.587879,-72.600258
Woonsocket,42.000969,-71.50547,Greenfield,42.587879,-72.600258
Worcester,42.262119,-71.802238,Greenfield,42.587879,-72.600258
