AccX,AccY,AccZ
0.033,-0.05,-9.872
0.037,-0.034,-9.871
0.04,-0.062,-9.876
0.003,0.017,-9.851
0.019,-0.068,-9.914
0.032,-0.042,-9.885
0.022,-0.053,-9.87
0.004,0.022,-9.899
0.002,-0.005,-9.88
0.054,-0.071,-9.848
0.016,-0.043,-9.864
0.025,-0.028,-9.931
0.007,-0.004,-9.854
0.031,-0.066,-9.833
-0.028,0.011,-9.927
-0.002,-0.009,-9.911
0.014,-0.003,-9.868
0.007,-0.019,-9.861
0.004,-0.03,-9.894
0.039,-0.04,-9.843
-0.01,0.031,-9.913
0.023,-0.051,-9.894
0.054,-0.088,-9.881
0.014,0.001,-9.883
0.014,-0.021,-9.864
0.022,-0.028,-9.854
-0.045,0.03,-9.841
0.039,-0.048,-9.905
-0.006,-0.017,-9.91
0.003,0.042,-9.893
0.003,-0.018,-9.92
0,-0.011,-9.878
0.006,-0.017,-9.914
0.017,-0.007,-9.903
0.023,-0.024,-9.876
0,-0.007,-9.858
0.041,-0.068,-9.864
0.065,-0.071,-9.887
0.053,-0.058,-9.873
0.03,-0.038,-9.835
0.037,-0.062,-9.871
0.043,-0.022,-9.88
0.042,-0.038,-9.839
0.026,-0.038,-9.911
0.039,-0.065,-9.841
-0.003,-0.024,-9.846
0.029,-0.076,-9.9
0.018,-0.024,-9.909
0.029,-0.044,-9.869
-0.003,0.018,-9.903
0.031,-0.034,-9.921
0.008,-0.02,-9.89
0.021,-0.043,-9.785
0.068,-0.068,-9.824
-0.007,-0.024,-9.88
0.035,-0.021,-9.878
0.019,-0.023,-9.923
0.031,-0.004,-9.849
0.016,-0.025,-9.899
0.029,-0.039,-9.888
0.011,-0.006,-9.902
0.024,-0.014,-9.863
0.039,-0.086,-9.853
0.014,-0.009,-9.894
0.011,0,-9.88
0.027,-0.031,-9.864
0,-0.007,-9.882
0.016,-0.013,-9.883
0.025,-0.041,-9.856
0.03,-0.024,-9.874
0.029,-0.049,-9.855
0.031,-0.027,-9.853
0.021,-0.018,-9.887
0.043,-0.049,-9.889
-0.026,0.004,-9.901
0.012,-0.008,-9.847
0.025,-0.059,-9.875
0.012,-0.001,-9.881
0.002,-0.023,-9.865
0.025,-0.015,-9.843
